Time	Channel B
(s)	(V)

5.62779986	-1.20162400
5.62799986	-1.20138000
5.62819986	-1.20095200
5.62839986	-1.20064700
5.62859986	-1.20040300
5.62879986	-1.20028100
5.62899986	-1.20028100
5.62919986	-1.20040300
5.62939986	-1.20052500
5.62959986	-1.20064700
5.62979986	-1.20083000
5.62999986	-1.20089100
5.63019986	-1.20095200
5.63039986	-1.20089100
5.63059986	-1.20076900
5.63079986	-1.20058600
5.63099986	-1.20046400
5.63119986	-1.20040300
5.63139986	-1.20034200
5.63159986	-1.20028100
5.63179986	-1.20022000
5.63199986	-1.20009800
5.63219986	-1.19997600
5.63239986	-1.19991500
5.63259986	-1.19991500
5.63279986	-1.19997600
5.63299986	-1.20003700
5.63319986	-1.20009800
5.63339986	-1.20015900
5.63359986	-1.20015900
5.63379986	-1.20015900
5.63399986	-1.20009800
5.63419986	-1.19997600
5.63439986	-1.19985400
5.63459986	-1.19967000
5.63479986	-1.19954800
5.63499986	-1.19948700
5.63519986	-1.19954800
5.63539986	-1.19967000
5.63559986	-1.19979300
5.63579986	-1.19979300
5.63599986	-1.19973100
5.63619986	-1.19954800
5.63639986	-1.19936500
5.63659986	-1.19936500
5.63679986	-1.19942600
5.63699986	-1.19960900
5.63719986	-1.19979300
5.63739986	-1.19997600
5.63759986	-1.20003700
5.63779986	-1.19997600
5.63799986	-1.19991500
5.63819986	-1.19985400
5.63839986	-1.19985400
5.63859986	-1.19973100
5.63879986	-1.19960900
5.63899986	-1.19930400
5.63919986	-1.19893800
5.63939986	-1.19857200
5.63959986	-1.19832700
5.63979986	-1.19820500
5.63999986	-1.19820500
5.64019986	-1.19820500
5.64039986	-1.19826600
5.64059986	-1.19826600
5.64079986	-1.19814400
5.64099986	-1.19808300
5.64119986	-1.19802200
5.64139986	-1.19802200
5.64159986	-1.19796100
5.64179986	-1.19790000
5.64199986	-1.19777800
5.64219986	-1.19771700
5.64239986	-1.19765600
5.64259986	-1.19765600
5.64279986	-1.19765600
5.64299986	-1.19777800
5.64319986	-1.19783900
5.64339986	-1.19796100
5.64359986	-1.19814400
5.64379986	-1.19826600
