Time	Channel A
(s)	(V)

6.02988564	-1.72872700
6.03013566	-1.72384300
6.03038568	-1.72872700
6.03063569	-1.72872700
6.03088571	-1.73361000
6.03113572	-1.72872700
6.03138574	-1.74337700
6.03163576	-1.71407600
6.03188577	-1.73361000
6.03213579	-1.72384300
6.03238580	-1.72872700
6.03263582	-1.73849300
6.03288584	-1.73361000
6.03313585	-1.73361000
6.03338587	-1.73361000
6.03363588	-1.72384300
6.03388590	-1.76291000
6.03413592	-1.73849300
6.03438593	-1.73849300
6.03463595	-1.73361000
6.03488596	-1.72384300
6.03513598	-1.73361000
6.03538600	-1.73849300
6.03563601	-1.73361000
6.03588603	-1.72384300
6.03613604	-1.72872700
6.03638606	-1.73849300
6.03663608	-1.73361000
6.03688609	-1.73849300
6.03713611	-1.73361000
6.03738612	-1.73361000
6.03763614	-1.73849300
6.03788616	-1.73361000
6.03813617	-1.74826000
6.03838619	-1.72872700
6.03863620	-1.71407600
6.03888622	-1.73361000
6.03913624	-1.72872700
6.03938625	-1.73361000
6.03963627	-1.72872700
6.03988628	-1.72384300
6.04013630	-1.74826000
6.04038632	-1.72872700
6.04063633	-1.73361000
6.04088635	-1.72384300
6.04113636	-1.73361000
6.04138638	-1.73361000
6.04163640	-1.71896000
6.04188641	-1.74337700
6.04213643	-1.73849300
6.04238644	-1.73849300
6.04263646	-1.74337700
6.04288648	-1.74337700
6.04313649	-1.73849300
6.04338651	-1.74337700
6.04363652	-1.73361000
6.04388654	-1.73849300
6.04413656	-1.73849300
6.04438657	-1.72872700
6.04463659	-1.73849300
6.04488660	-1.73361000
6.04513662	-1.72384300
6.04538664	-1.73361000
6.04563665	-1.71407600
6.04588667	-1.73361000
6.04613668	-1.73361000
6.04638670	-1.73361000
6.04663672	-1.70919300
6.04688673	-1.74826000
6.04713675	-1.70919300
6.04738676	-1.72384300
6.04763678	-1.73849300
6.04788680	-1.72384300
6.04813681	-1.72872700
6.04838683	-1.74337700
6.04863684	-1.72384300
6.04888686	-1.72872700
6.04913688	-1.71896000
6.04938689	-1.72384300
6.04963691	-1.71407600
6.04988692	-1.73361000
6.05013694	-1.73849300
6.05038696	-1.74826000
6.05063697	-1.73849300
6.05088699	-1.74337700
6.05113700	-1.73361000
6.05138702	-1.72872700
6.05163703	-1.73361000
6.05188705	-1.72384300
6.05213707	-1.73849300
6.05238708	-1.71407600
6.05263710	-1.72384300
6.05288711	-1.73849300
6.05313713	-1.72872700
6.05338715	-1.73849300
6.05363716	-1.71407600
6.05388718	-1.72384300
6.05413719	-1.73361000
6.05438721	-1.72872700
6.05463723	-1.72872700
6.05488724	-1.72872700
